ID	adj.P.Val	P.Value	t	B	logFC
DDIT4	2.33029044934287e-21	1.46543657703219e-23	-11.911590934894	42.9454723613167	-1.27682441382779
PDIA3P	2.40736443549759e-21	1.52662755514301e-23	-11.9050164539957	42.8878465808875	-1.06452520271144
TYROBP	4.41673110241494e-21	2.89422743063707e-23	-11.8022014912119	42.2764068898455	-1.11343714529657
SH3BGRL3	6.97978911231052e-21	4.70286483020447e-23	-11.7241529493692	41.7974393827325	-1.05847253601929
ATP1A2	1.08121691165544e-20	7.4564713296536e-23	11.6500313499338	41.3435296855012	1.30773163653267
PLEKHF1	1.14196537813338e-20	7.90558920548927e-23	-11.6406241330577	41.2856433840565	-1.13348437871963
ECGF1	1.32056882323813e-20	9.31648987487661e-23	-11.6142095838139	41.123109045042	-1.2505129624583
ARPC3	3.44253418214272e-20	2.51054123096599e-22	-11.4546896820403	40.1467289139267	-1.377201772646
SERPINH1	4.25502792437112e-20	3.18177060349053e-22	-11.4165420620182	39.9082594147699	-1.13287479307761
C19ORF10	4.54936391567212e-20	3.41388614926513e-22	-11.4052038050003	39.8277850697308	-1.25852290479704
SERPINE1	8.85264188525171e-20	7.11093149372859e-22	-11.287000616718	39.1014074926825	-2.00489290083076
LOC285556	9.18316345869772e-20	7.424953808491e-22	-11.2800366875901	39.0414013373036	-1.71830553721817
HOPX	1.30063778878344e-19	1.09285741381687e-21	-11.2177305701956	38.6717571898149	-1.51274509389663
LUM	1.70197902026248e-19	1.47505448038391e-21	11.169369814237	38.403047103898	1.16491723940749
LOC201140	1.86351512386372e-19	1.62490089012056e-21	-11.1537641070177	38.2688642008782	-1.47880334247385
LOC387763	2.15863262622573e-19	1.89934118409651e-21	-11.1285881397378	38.1480457953006	-1.04526296971586
THBS4	2.5139245636739e-19	2.23852607397903e-21	11.1020756787917	37.9930855380551	1.33653215109837
HFE2	4.94477707986637e-19	4.62519443606377e-21	10.9849076141082	37.2720482836552	1.29720851079583
HSPA2	6.8219315102508e-19	6.45312973806951e-21	10.9310935149099	36.9384963303439	1.39680879069261
HS.576694	1.07495355151001e-18	1.04808397322622e-20	10.852678176983	36.4618064429814	1.58487901681885
PLA2G2A	1.19552789616821e-18	1.18459800523986e-20	-10.8328712732144	36.2877712355176	-1.34702264064483
FBXO32	1.40516539641487e-18	1.40345748518951e-20	10.8054388571512	36.183634041693	1.06742524372777
