ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_1806294	0.995923909994879	0.980058632355373	-0.0253832682285833	-5.92334220437343	-0.00814501567399084	7.26559038574268
ILMN_1737651	0.883557278349845	0.553141756334874	-0.605617062701786	-5.92352622336038	-0.126873843270934	9.06380422540227
ILMN_1700432	0.997241198545325	0.985988722979469	-0.017833855779589	-5.92353981041959	-0.00394203220106615	7.26673164324604
ILMN_1666174	0.982278278915745	0.914507932522935	-0.109038919549901	-5.92360146230063	-0.022976379131662	7.30819094074866
ILMN_1762540	0.950800072672671	0.784130524879045	-0.278518484072588	-5.92363875556267	-0.0586418012750425	7.59673228949877
ILMN_1661537	0.853849946489335	0.46119787596033	-0.754766697630603	-5.9236879017868	-0.109269266932163	10.6654646940031
ILMN_1748291	0.908645084585304	0.638298360750534	0.479040114761709	-5.92370231914772	0.160769816219114	8.3203105805117
ILMN_1669273	0.845595825303673	0.446731902362627	-0.779793451998521	-5.92373644792505	-0.223904983691142	11.0045239357843
ILMN_1704570	0.967563173797314	0.84836846255717	-0.19427778847429	-5.92377408822074	-0.0421787344628521	7.41718927876443
ILMN_1661500	0.989571607042638	0.943820259740749	-0.0715675600023257	-5.92394734391659	-0.021333484885127	7.28974327632976
ILMN_1789524	0.951781777438876	0.788831458172299	0.272290153343204	-5.92411393927116	0.0652045450738816	7.6016782299592
ILMN_1746492	0.931661111465552	0.713723956827869	0.373341786604594	-5.9242468964736	0.0970832016343568	7.90697330245132
ILMN_1660111	0.879086080480984	0.527146555776387	-0.646251829657075	-5.92437479593563	-0.190216928434971	9.41295769077576
ILMN_1676221	0.895312687482664	0.597897871946956	-0.537966974592258	-5.92437527862258	-0.24548133611872	8.55410805124031
ILMN_1794165	0.932771519193106	0.719263576810566	0.365763439411033	-5.92453220177435	0.079530021389191	7.87141793633463
ILMN_1781532	0.886422517424566	0.562206219147542	0.591691756402053	-5.92469160222897	0.109364189246428	9.03021347959074
ILMN_1706839	0.927666539659491	0.703193698324037	-0.387810361567874	-5.92493948068465	-0.0697032635664234	7.92462324686485
ILMN_1747241	0.909260640787353	0.641109047522236	0.475006938736762	-5.92516625750374	0.0960707605299636	8.31054849597806
ILMN_1750511	0.957256097362586	0.809049437859262	0.245626466382722	-5.9253218833504	0.0582730341752438	7.55212135612206
ILMN_1708721	0.873691616160927	0.511879692466055	-0.670637234086856	-5.92539007601056	-0.28452823655277	9.68017026477346
ILMN_1684346	0.943352825610915	0.763837011697054	0.305540679910489	-5.92577268436025	0.111575488688986	7.72362299400847
ILMN_1675583	0.986492825710835	0.932098244664356	-0.0865364619715639	-5.92594383019793	-0.0219679296373565	7.31004346867271
ILMN_1761961	0.85252823102813	0.458254623214748	0.759819032117752	-5.92605651605601	0.16314388252181	10.8546388661247
ILMN_1760676	0.828408860611713	0.403755000672826	-0.857303358739323	-5.92609555472974	-0.157098190064614	12.0902825148427
ILMN_1707798	0.930555915934317	0.710549364297256	0.377694878707695	-5.92624267109362	0.0738781190027868	7.93913209602924
ILMN_1747303	0.873691616160927	0.508481963051913	-0.676120341617557	-5.92643825576444	-0.118338567439954	9.79195418217318
ILMN_1728163	0.872161790346002	0.504264431536446	0.682955754051007	-5.92644664955126	0.188580651445795	9.93219502110762
ILMN_1798657	0.957781002551846	0.812387961991708	0.24124182722459	-5.92696273961268	0.0934339878202959	7.58187017482348
ILMN_1770356	0.913676357130076	0.655677064846214	0.454229855767703	-5.92720503537022	0.113400234284516	8.24640364813106
ILMN_1664016	0.913080033402266	0.651836213822445	0.459687429811746	-5.9273364328629	0.0966485979122815	8.27276828141871
ILMN_1772165	0.992486032767623	0.963386411823633	0.0466178611851764	-5.92738819810873	0.0101400476667521	7.30056906576909
ILMN_1720526	0.997580739860994	0.989679711992169	0.0131355471511857	-5.92744597263495	0.00569036798159406	7.25377002853377
ILMN_1654737	0.939578838211735	0.746537594746744	0.328762657290779	-5.92753876430905	0.0842282183971266	7.79141987898351
ILMN_1751368	0.843453144987519	0.441242561487351	0.789421780964125	-5.92755814826825	0.155689041102509	11.2835195994691
ILMN_1666194	0.93303161660547	0.721502750430798	0.362706481778913	-5.92773030432317	0.0951325794152567	7.89897272777578
ILMN_1700419	0.939019216433074	0.74507967527349	-0.330728090325953	-5.9277381353368	-0.068361128720503	7.76747927153511
ILMN_1651826	0.992095733846621	0.960704062897515	-0.0500360569481824	-5.92784185169702	-0.0245521113607836	7.2917443494236
ILMN_1810797	0.934804911024056	0.725584240756996	-0.357143507498857	-5.9278465004491	-0.0896833893566917	7.84064008929128
ILMN_1679919	0.87448375461027	0.516192642739719	-0.663707026897162	-5.9278539068622	-0.19061078714569	9.66595005276208
ILMN_1806266	0.991030760123461	0.955186639486879	0.0570690696647691	-5.92787487531148	0.0129388294681672	7.32404269893045
ILMN_1673875	0.848152488627405	0.450266788993142	-0.773632224527462	-5.92805202976398	-0.108093962313077	10.9832154456088
ILMN_1791306	0.938154393726104	0.736504512252169	-0.342315944162224	-5.92841262045782	-0.0771541031288372	7.81626807591881
ILMN_1766916	0.895789287079642	0.601843304797018	-0.532129081858438	-5.92842109931469	-0.135020452822237	8.62393103494657
ILMN_1749892	0.985987274084659	0.927648292631858	0.0922242079017886	-5.92856256449	0.0486451552690577	7.33167075298075
ILMN_1784880	0.928606401201298	0.704781920217207	0.385622745886647	-5.9288502782566	0.200700730274946	7.97521982427803
ILMN_1661591	0.963403046444474	0.831618490383713	0.216077852778137	-5.92887172684475	0.0448951460089244	7.52554214956677
ILMN_1691355	0.835258939230185	0.419985083535898	-0.827437914511166	-5.92892188332787	-0.229727793389136	11.8095557600163
ILMN_1805658	0.879133706736716	0.531623839771548	-0.639175773809514	-5.92930321131468	-0.124321583911264	9.44287943801672
ILMN_1686194	0.870190443954016	0.500204382809415	0.689567183044935	-5.92931437184174	0.123972509320481	10.03874229932
ILMN_1725620	0.876253585707636	0.519687887486261	0.658114822767481	-5.92943801110647	0.129775138440323	9.69874226557833
ILMN_1772645	0.884755566448003	0.556207157256174	0.600894310060966	-5.92960313176688	0.134118162348246	9.17428419908322
ILMN_1796417	0.919452551855949	0.672766744210796	0.430114863822213	-5.92961977053365	0.129599662196824	8.18878061380832
ILMN_1736481	0.911803511980625	0.64835194511942	0.464650764334513	-5.92962828390082	0.107177397620925	8.31255279722141
ILMN_1731043	0.952932672527092	0.797753058987903	-0.260500202937364	-5.92965645907169	-0.062589084943439	7.60848150929625
ILMN_1794588	0.889338724621088	0.571342058124382	0.577776412816867	-5.92975002382561	0.158072827469329	8.95605741207287
ILMN_1751084	0.858544211785528	0.475306150579563	0.730817239150558	-5.92979650877365	0.344450825779822	10.5841642587619
ILMN_1663616	0.869627756647416	0.497694342131663	-0.693670148889224	-5.92987915640079	-0.113764404404655	10.0268564392145
ILMN_1685576	0.89420507288848	0.588919357066235	-0.551324142015744	-5.92990266938209	-0.151371558141683	8.75860757309182
ILMN_1790782	0.89566828165468	0.599039044806078	-0.536276470942249	-5.93000742949308	-0.208632098943383	8.66486460329338
ILMN_1730765	0.999842668655685	0.99955963764781	0.00056047119762584	-5.93005450589972	0.000238723282841136	7.25735391875026
ILMN_1713053	0.866005131652264	0.490058438018386	-0.706226789642312	-5.93007678038365	-0.160380703096408	10.1835260769187
ILMN_1716246	0.885914318065467	0.559964628115281	0.595124222360614	-5.93023227565992	0.220869575921245	9.21647146474959
ILMN_1669015	0.855546419858826	0.46507427804069	0.748142524073608	-5.93049022313711	0.107438573850001	10.7511193014251
ILMN_1714951	0.954496609844636	0.800974651121624	0.256252328535555	-5.93050818253433	0.0984569341992882	7.61679674485974
ILMN_1663722	0.961143516153044	0.822489349476819	0.228004643912505	-5.93051703648521	0.0832625673013547	7.58474614707207
ILMN_1743714	0.916323025332504	0.666394423915201	-0.439075315925912	-5.93058581601725	-0.10110090192844	8.16341898160937
ILMN_1700461	0.891462991247371	0.579063511772646	0.566105584338604	-5.93073182562464	0.127438794549379	8.9427725379831
ILMN_1800704	0.997380254474392	0.987278086029865	-0.0161925666684171	-5.93076948781684	-0.00483300360129046	7.33962564483944
ILMN_1779177	0.971083444814309	0.858667458328393	-0.180922741315066	-5.93077545574186	-0.0408928165732503	7.45457102032255
ILMN_1735220	0.858479255217538	0.474608494965804	0.731991364247545	-5.9311112809929	0.331947969239209	10.566835321349
ILMN_1736500	0.78414970370388	0.309615267825437	-1.0488390231002	-5.93115500580401	-0.127446957868617	14.1405845416547
ILMN_1730347	0.92352682841216	0.684008624548639	0.414394465300805	-5.93125568696568	0.156007517779287	8.12193258914494
ILMN_1806122	0.884755566448003	0.55663601375147	0.60023469714664	-5.93152453147988	0.178852879126607	9.19098825853057
ILMN_1723436	0.884719437861778	0.555383620919552	-0.602161731718948	-5.93159741658652	-0.229523682916849	9.14586276433903
ILMN_1709348	0.924366858792128	0.686904971921626	-0.410361804558695	-5.93163880731354	-0.172471554486631	8.02119759717106
ILMN_1718303	0.940331367111022	0.749290901851357	-0.325054544325029	-5.93167913633181	-0.0970898971485408	7.78229686244469
ILMN_1674941	0.880191018351332	0.535850049554531	-0.6325267997771	-5.93182272493816	-0.127629174636366	9.41176357139921
ILMN_1796269	0.82112547241277	0.387549135926003	0.88791996299221	-5.93183310149619	0.218014229238763	12.5346129129266
ILMN_1801124	0.884124935265043	0.554000454448311	0.604292687458544	-5.93207712840039	0.130115948834153	9.23051634545118
