ID	miRNA_ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_3167122	hsa-miR-194	0.986254906802349	0.938557981968644	0.0772345534294366	-6.60503714748931	0.00991523356457513	12.5939519027202
ILMN_3168760	hsa-miR-1273	0.923618878481863	0.78938799729962	0.267667030534258	-6.60580429537483	0.0617304510617709	7.56175502923366
ILMN_3167975		0.923618878481863	0.796331670808506	-0.258637754775449	-6.60589703082964	-0.0223150991397336	7.51621642095276
ILMN_3168262	hsa-miR-99b	0.656319849202222	0.30953075857572	1.02027216346955	-6.60649112216868	0.0552699859537	13.6955519649052
ILMN_3167344	hsa-miR-338-3p	0.829043045280857	0.554626177017587	-0.592408041644371	-6.60673471874239	-0.0824788678348938	12.9320292066573
ILMN_3167337	hsa-miR-1229	0.994264188084983	0.976647270518578	0.0293299680154344	-6.61056431164096	0.00340497609879353	7.71410467511812
ILMN_3167035	hsa-miR-29a	0.518865945367744	0.177287707033773	1.35665358588353	-6.6117963900483	0.0218947221731138	14.3008355353341
ILMN_3168179		0.677575602258676	0.342634300181462	0.952521327040584	-6.61452095614977	0.0273317381025322	6.11034057632225
ILMN_3168073	hsa-miR-186	0.760470779172658	0.442334968496935	0.77065785962799	-6.61454091595008	0.0663701444792189	13.2993396795225
ILMN_3168313		0.788911060266558	0.480925694380836	-0.706887766751077	-6.61852001697072	-0.0714378784122358	6.52220634895123
ILMN_3167580	hsa-miR-644	0.789861943281286	0.482885030826987	0.703727837628337	-6.61911969688902	0.0301434585683316	6.5957990066253
ILMN_3168031	hsa-miR-519e*	0.870366731865573	0.661974846196006	-0.43821068959139	-6.61972084585242	-0.0257735328128206	7.07604033769947
ILMN_3168401	hsa-miR-526b:9.1	0.925916822993954	0.807601639265609	-0.244027478521757	-6.62006242590425	-0.0106152493179561	7.46081148725307
ILMN_3168627	hsa-miR-556-3p	0.821585605290002	0.536721425988578	0.619455331621976	-6.6210976414035	0.0866327485091212	6.7819924088748
ILMN_3167774	hsa-miR-210	0.955462260920524	0.878108353766034	-0.153675666752219	-6.62401598751865	-0.0122430599763401	12.6466925074284
ILMN_3168663	hsa-miR-1321	0.909477924938857	0.751457028242198	-0.317402751157745	-6.62581341499227	-0.0193118928747396	7.29154828978899
ILMN_3167109	hsa-miR-561	0.852340743416911	0.614876379093772	-0.504363194976319	-6.62612181904071	-0.0155621851826355	6.91079285184011
ILMN_3168606	hsa-miR-671-5p	0.899208752050154	0.733503034423445	-0.341215218446756	-6.62957546270916	-0.0196735306558988	7.22620613576708
ILMN_3167767		0.978114910845272	0.914900497393263	0.107071494622863	-6.63066689311487	0.0104768014005669	7.5558567904759
ILMN_3167145	hsa-miR-626	0.929797335776112	0.819358525587858	-0.228841639973742	-6.63466751654944	-0.00748550794564373	7.39496920754929
ILMN_3167792		0.990535279364463	0.962673813580934	-0.0468905344234128	-6.63535971340511	-0.00152078264589139	7.54808793766185
ILMN_3168854	hsa-miR-1292	0.685876526740334	0.351624035979542	-0.934865840259076	-6.63670072413493	-0.0409144440228051	6.05015971294754
ILMN_3167464		0.96301008457736	0.892034582081443	0.1360014176487	-6.6372659416855	0.00807688818631558	7.49397592365926
ILMN_3168701	hsa-miR-200c*	0.812043557238536	0.518255715400731	0.647835663502837	-6.64046967085424	0.0434455746856868	6.64692614680621
ILMN_3168276		0.925916822993954	0.808660980780746	-0.242656901369675	-6.64092601545178	-0.0139822024386094	7.33620244916842
ILMN_3168806	hsa-miR-128	0.859832059209016	0.645812725694108	-0.460680000375172	-6.64358939296144	-0.0176563075783438	12.9024581932803
ILMN_3167585		0.787486107369109	0.476606255622517	0.713879138420308	-6.64425963702786	0.0600321684848879	13.2706940801758
ILMN_3166984	hsa-miR-555	0.999477066526343	0.997208669286907	-0.00350528536970047	-6.64977709537459	-0.000190892911244411	7.46783608215216
ILMN_3168878	hsa-miR-1302	0.723485566948626	0.402970341187407	-0.839122906139455	-6.65081206022379	-0.042919716415847	6.21019539124043
ILMN_3168593	hsa-miR-20b*	0.981016432022144	0.92414943529724	0.0953967263114741	-6.65086949228865	0.00502088041011817	7.43494518048313
ILMN_3168607	hsa-miR-1255a	0.698133166906756	0.36570195952753	-0.907788535822335	-6.65436569608496	-0.0514996125743812	6.06060921419335
ILMN_3167141	hsa-miR-622	0.859132711577482	0.636571782112632	0.473632384789849	-6.65553106623712	0.0930389106417895	6.94354539492454
ILMN_3168838	hsa-miR-891b	0.56240881519306	0.216122164790346	1.24307036296818	-6.65862474177096	0.0197536511068366	5.41017884141512
ILMN_3167538		0.923618878481863	0.793048478769801	0.26290439420238	-6.66189251996932	0.0148289185720225	7.19989028985456
ILMN_3168253	hsa-miR-512-5p	0.904709274361981	0.740893715858476	0.331390094136835	-6.6628142815483	0.0345700762855046	7.10788266722894
ILMN_3167179	hsa-miR-200a*	0.978114910845272	0.914096161179998	-0.108087466155565	-6.66310359656486	-0.0039864924617854	7.34989644476355
ILMN_3168430	hsa-miR-587	0.98502793641787	0.932712989354701	-0.0845988118990998	-6.66345781605088	-0.00343621187623633	7.35850440930415
ILMN_3168626	hsa-miR-1259	0.904235129912634	0.738392879011627	0.334711038345232	-6.66462482818535	0.0272888203223181	7.07885025644602
ILMN_3168161		0.898674602395366	0.729470029721479	-0.346590628243449	-6.66524403723854	-0.0253543985450184	7.01838752369564
ILMN_3167305	hsa-miR-652	0.83006296989705	0.566087765838913	0.575321059833163	-6.6697264971634	0.0317389026131991	13.1173015203416
ILMN_3167813		0.594805049384657	0.245194745248522	-1.16747941047194	-6.68046268680709	-0.0374089289541306	5.48849652001707
ILMN_3168898		0.996197919093386	0.987004745706605	0.016319821370415	-6.68192641288972	0.00121060029696718	7.27178533442264
ILMN_3167172		0.98502793641787	0.933422851797573	-0.0837041990330526	-6.6821911732407	-0.00877412146700429	7.24117129339115
ILMN_3167941		0.894175210981483	0.715297901596117	0.365561451458355	-6.68340183124824	0.0164699842644982	6.94051075891856
ILMN_3167512		0.858343721571524	0.628952299037999	-0.484372447306364	-6.68888614701169	-0.0271611968506855	6.72345409652052
ILMN_3167336	hsa-miR-637	0.752177161315902	0.432255521524772	0.787833995738121	-6.68981409930936	0.05431891668466	6.28280662150559
ILMN_3168194	hsa-miR-518f*,hsa-miR-518d-5p,hsa-miR-520c-5p,hsa-miR-526a	0.954092155021326	0.871771679342497	-0.161733460742902	-6.69072745182489	-0.0160082631452596	7.15365879749947
ILMN_3167640		0.624263258456792	0.268787586392313	-1.11069864628833	-6.69118064172775	-0.0361213312307775	13.9345163093756
ILMN_3168384		0.942200498934932	0.843454595116423	-0.197879219140207	-6.69503232583775	-0.0205591784979928	7.07145195153447
ILMN_3168722	hsa-miR-192*	0.936900895475531	0.833596572112376	-0.210521570873889	-6.69550544485371	-0.0132486782734462	7.06471300103544
ILMN_3168611	hsa-miR-149*	0.971531544528976	0.906197108783359	0.118071044993834	-6.69844255054158	0.00815876002801552	7.1425512427035
ILMN_3168004	hsa-miR-569	0.882500631864094	0.686219428302888	0.40491345701825	-6.70311567459282	0.0242410952267029	6.82579955948688
ILMN_3168659	hsa-miR-1183	0.828065421059717	0.546521165727894	-0.604596526620721	-6.70519607906623	-0.0846352311091003	6.4658852150299
ILMN_3167830		0.980454430816222	0.919987306780163	0.100648789035199	-6.71114261039165	0.00581041201666554	7.08356498380523
ILMN_3167881		0.997095765544792	0.990999983572029	-0.0113022213989708	-6.71215187977274	-0.00197217227088231	7.10043684787609
ILMN_3167996	hsa-miR-335	0.885688768594964	0.691533414082007	-0.3976765465185	-6.71796303445396	-0.0430885523509463	12.9880817735983
ILMN_3168332		0.920421241766918	0.780612699407781	-0.279109705582579	-6.72439534234752	-0.0146093141414854	6.86855904323357
ILMN_3168235		0.95354372800467	0.867766431948354	-0.166832012925701	-6.73189896084991	-0.0255147578860093	6.9314627386139
ILMN_3167593	hsa-miR-183*	0.954092155021326	0.869766970249641	0.164284853582482	-6.73533222646213	0.00977650800941721	6.94080663174965
ILMN_3167811	hsa-miR-623	0.989285818305098	0.952133599801064	-0.0601458669202937	-6.7378495713422	-0.00817689422674306	6.96805545163147
ILMN_3167868		0.898674602395366	0.7256154787038	0.351737624635673	-6.73871902022771	0.0158246415910437	6.76822302273581
ILMN_3167893	hsa-miR-767-3p	0.819200905937076	0.53158626472598	-0.627296506437531	-6.74168294865152	-0.0223808440283895	6.37710988037853
ILMN_3167418	hsa-miR-198	0.838784129290115	0.583119796432255	0.550236095821343	-6.74172647385441	0.0434057129938923	6.5360437033313
ILMN_3168718	hsa-miR-526b	0.765292822608284	0.44647651135575	-0.763666224422937	-6.74242295017538	-0.0474478902634079	6.13228199019055
ILMN_3167398		0.849343236568757	0.603364866697697	0.520863643303771	-6.74286985385866	0.0197656060236362	6.55623385066121
ILMN_3168602	hsa-miR-219-1-3p	0.90632900203041	0.748018259317675	-0.321949180212917	-6.74700956112309	-0.0130448603854729	6.75356395553552
ILMN_3167462		0.849343236568757	0.609746847562898	0.511698474073426	-6.75706535708195	0.015719740714097	6.5292811422539
ILMN_3168744	hsa-miR-888*	0.665496261271474	0.320931388076014	0.996422835852664	-6.75796879306401	0.0193830241830311	5.72115031158853
ILMN_3168548	hsa-miR-520d-3p	0.955462260920524	0.876507030930737	-0.155710958859248	-6.7587921561639	-0.0149217390719327	6.8444386353364
ILMN_3168620	hsa-miR-1258	0.898674602395366	0.727200806119494	0.349619602855803	-6.76235947138777	0.0189027372068669	6.70488872300463
ILMN_3168458		0.912525727669708	0.757958740720805	0.30882471267194	-6.76414336328202	0.047698122669579	6.75452530093935
ILMN_3168198	hsa-miR-328	0.904709274361981	0.742578323701787	-0.329155122491599	-6.76414558942442	-0.0241924239721261	13.0430206038771
ILMN_3168897		0.722729886605284	0.399936014892917	0.84456346008167	-6.76532781020431	0.0326151834821156	5.99516290578089
ILMN_3168789	hsa-miR-509-5p	0.820088834949635	0.532878684019676	0.625319403439527	-6.76737555020254	0.0318080629367268	6.35411453024945
ILMN_3168349		0.920421241766918	0.779515348020231	-0.280543174367377	-6.76992449718263	-0.024888903524964	6.71561713809191
ILMN_3168688	hsa-miR-1236	0.849343236568757	0.607081489803762	0.515520896917359	-6.77375300486116	0.0369498887554851	6.49769460081964
ILMN_3168811	hsa-miR-1279	0.882073029696585	0.68485844838451	0.406770345977958	-6.7743797601844	0.0177674051403391	6.61131432246885
ILMN_3168665	hsa-miR-301b	0.698133166906756	0.364679111952045	0.909733339648956	-6.77702644767911	0.0593730497546705	5.87179726814799
ILMN_3168020		0.936900895475531	0.832023967020262	0.212541433249734	-6.77795699573169	0.00931209980698355	13.0316855941723
ILMN_3168169		0.930017918213752	0.822631635802018	0.224623505569934	-6.78042859971662	0.011390725899239	6.7470573577764
ILMN_3168453		0.890332936537135	0.704569296446214	-0.380011011241151	-6.78809235292195	-0.0264786568187336	6.57108419078647
ILMN_3168787	hsa-miR-1277	0.85609932744104	0.624316976780147	0.490933702656617	-6.79148101281318	0.119291442531627	6.53837290743194
ILMN_3167151	hsa-miR-553	0.849343236568757	0.608254543961929	-0.513837675184984	-6.80287399516132	-0.0194626353074296	6.38717157779398
